control_id,name,theme,included,justification,status,responsible_party
5.1,"Policies for information security",Organizational,Yes,"Information security policies are required to establish management direction and support for information security across all Acme systems and operations.",implemented,Sarah Chen
5.2,"Information security roles and responsibilities",Organizational,Yes,"Formal assignment of information security roles and responsibilities is required to ensure accountability for ISMS controls across all functions.",partial,Sarah Chen
5.3,"Segregation of duties",Organizational,Yes,"Segregation of duties is required to reduce the risk of fraud and error in payment processing and system administration functions.",implemented,Sarah Chen
5.4,"Management responsibilities",Organizational,Yes,"Management must actively support information security to ensure the ISMS is effective and resourced appropriately.",implemented,Sarah Chen
5.5,"Contact with authorities",Organizational,Yes,"Acme must maintain contacts with relevant regulatory authorities (FCA, ICO, NCSC) for incident response and compliance obligations.",implemented,Sarah Chen
5.6,"Contact with special interest groups",Organizational,Yes,"Membership of financial sector ISACs and relevant security communities supports threat intelligence and best practice sharing.",partial,Marcus Webb
5.7,"Threat intelligence",Organizational,Yes,"Threat intelligence is required to inform risk assessments and proactive defence given Acme's exposure as a payments processor.",not_implemented,Marcus Webb
5.8,"Information security in project management",Organizational,Yes,"Security requirements must be integrated into all technology projects including payment system upgrades and new product development.",partial,Marcus Webb
5.9,"Inventory of information and other associated assets",Organizational,Yes,"An asset inventory is required for risk management and to understand the scope of information requiring protection.",partial,J. Patel
5.10,"Acceptable use of information and other associated assets",Organizational,Yes,"All staff and contractors must understand permitted and prohibited uses of Acme information assets and systems.",not_implemented,L. Okonkwo
5.11,"Return of assets",Organizational,Yes,"Assets must be returned upon termination of employment or contract to prevent unauthorised retention of sensitive information.",implemented,L. Okonkwo
5.12,"Classification of information",Organizational,Yes,"Information classification is required to ensure appropriate protection proportionate to sensitivity given the volume of personal and payment data processed.",implemented,Sarah Chen
5.13,"Labelling of information",Organizational,Yes,"Labelling supports correct handling of classified information and reduces the risk of inadvertent disclosure.",partial,Sarah Chen
5.14,"Information transfer",Organizational,Yes,"Controls over information transfer are required to protect data in transit between Acme and customers, partners, and suppliers.",partial,Marcus Webb
5.15,"Access control",Organizational,Yes,"Access control is fundamental to protecting payment processing systems and customer data from unauthorised access.",partial,Sarah Chen
5.16,"Identity management",Organizational,Yes,"Formal identity management is required to ensure only authorised individuals hold accounts and that accounts are managed throughout their lifecycle.",partial,J. Patel
5.17,"Authentication information",Organizational,Yes,"Strong authentication is required for all access to Acme systems, particularly payment processing and cloud infrastructure.",partial,J. Patel
5.18,"Access rights",Organizational,Yes,"Formal management of access rights including provisioning, review, and revocation is required to enforce least privilege across all systems.",partial,J. Patel
5.19,"Information security in supplier relationships",Organizational,Yes,"Acme relies on key suppliers including AWS, Stripe, and other third parties whose security practices directly impact Acme's risk profile.",partial,Sarah Chen
5.20,"Addressing information security within supplier agreements",Organizational,Yes,"Contractual security requirements must be established with all suppliers processing Acme data or providing critical services.",implemented,Sarah Chen
5.21,"Managing information security in the ICT supply chain",Organizational,Yes,"ICT supply chain risks including software dependencies and cloud service provider security must be managed systematically.",partial,Marcus Webb
5.22,"Monitoring review and change management of supplier services",Organizational,Yes,"Ongoing monitoring of supplier security performance is required given reliance on AWS and payment processor integrations.",partial,Sarah Chen
5.23,"Information security for use of cloud services",Organizational,Yes,"Acme's entire infrastructure is cloud-based (AWS eu-west-1); a formal cloud security policy and governance framework is essential.",partial,Marcus Webb
5.24,"Information security incident management planning and preparation",Organizational,Yes,"Incident management planning is required to enable effective response to security incidents affecting payment systems and customer data.",implemented,Marcus Webb
5.25,"Assessment and decision on information security events",Organizational,Yes,"A structured process for assessing whether events constitute incidents is required to ensure appropriate and timely response.",implemented,Marcus Webb
5.26,"Response to information security incidents",Organizational,Yes,"Effective incident response procedures are required to contain and remediate incidents affecting payment systems and to meet GDPR breach notification obligations.",implemented,Marcus Webb
5.27,"Learning from information security incidents",Organizational,Yes,"Post-incident review and lessons learned are required to prevent recurrence and improve the ISMS continuously.",partial,Marcus Webb
5.28,"Collection of evidence",Organizational,Yes,"Evidence collection procedures are required to support investigations and regulatory reporting following security incidents.",partial,Marcus Webb
5.29,"Information security during disruption",Organizational,Yes,"Business continuity planning must incorporate information security requirements to maintain protection during disruptions.",partial,J. Patel
5.30,"ICT readiness for business continuity",Organizational,Yes,"AWS infrastructure resilience must be tested and documented to ensure payment service continuity in the event of failures.",partial,J. Patel
5.31,"Legal statutory regulatory and contractual requirements",Organizational,Yes,"Acme operates under FCA authorisation, UK GDPR, PCI DSS v4.0, and other regulatory obligations that impose specific information security requirements.",implemented,Rachel Adeyemi
5.32,"Intellectual property rights",Organizational,Yes,"Acme develops proprietary payment software and uses third-party components; IPR controls are required to manage licensing compliance.",implemented,Sarah Chen
5.33,"Protection of records",Organizational,Yes,"ISMS records and business records must be protected against loss, destruction, falsification, and unauthorised access in accordance with regulatory requirements.",implemented,Sarah Chen
5.34,"Privacy and protection of personally identifiable information",Organizational,Yes,"Acme processes personal data of payment customers; privacy and PII protection controls are mandatory under UK GDPR.",implemented,Rachel Adeyemi
5.35,"Independent review of information security",Organizational,Yes,"Independent review is required by ISO 27001:2022 Clause 9.2 and is necessary to provide objective assurance of ISMS effectiveness.",not_implemented,Sarah Chen
5.36,"Compliance with policies rules and standards for information security",Organizational,Yes,"Regular compliance checking ensures that controls are operating as intended and deviations are identified and corrected promptly.",not_implemented,Marcus Webb
5.37,"Documented operating procedures",Organizational,Yes,"Documented procedures for key operational processes are required to ensure consistent and correct execution of security controls.",not_implemented,J. Patel
6.1,"Screening",People,Yes,"Pre-employment screening of staff with access to payment systems and customer data is required to mitigate insider threat risk.",implemented,L. Okonkwo
6.2,"Terms and conditions of employment",People,Yes,"Employment contracts must include information security obligations and acceptable use requirements for all staff.",implemented,L. Okonkwo
6.3,"Information security awareness education and training",People,Yes,"All staff require regular security awareness training to understand their responsibilities and recognise threats such as phishing.",partial,L. Okonkwo
6.4,"Disciplinary process",People,Yes,"A formal disciplinary process for information security violations deters policy breaches and provides a consistent response framework.",not_implemented,L. Okonkwo
6.5,"Responsibilities after termination or change of employment",People,Yes,"Post-termination security obligations including confidentiality must be clearly defined and enforced.",implemented,L. Okonkwo
6.6,"Confidentiality or non-disclosure agreements",People,Yes,"NDAs are required for all staff and contractors with access to confidential payment data and proprietary systems.",implemented,L. Okonkwo
6.7,"Remote working",People,Yes,"All Acme staff are remote workers; remote working security controls are essential to protect access to cloud systems and data.",implemented,Marcus Webb
6.8,"Information security event reporting",People,Yes,"All staff must be able to report security events quickly; a clear reporting mechanism supports prompt detection and response.",partial,Marcus Webb
7.1,"Physical security perimeters",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.2,"Physical entry",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.3,"Securing offices rooms and facilities",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.4,"Physical security monitoring",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.5,"Protecting against physical and environmental threats",Physical,Yes,"Applicable to staff home working environments; home office security guidance is required for all remote workers.",partial,L. Okonkwo
7.6,"Working in secure areas",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.7,"Clear desk and clear screen",Physical,Yes,"Clear desk and screen lock requirements apply to all remote workers handling sensitive documents and data.",implemented,Marcus Webb
7.8,"Equipment siting and protection",Physical,Yes,"Staff laptops and home networking equipment must be appropriately sited and protected against environmental threats.",partial,J. Patel
7.9,"Security of assets off-premises",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.10,"Storage media",Physical,No,"No owned or leased premises; co-location provider manages physical security under their own ISO 27001 certification.",not_implemented,J. Patel
7.11,"Supporting utilities",Physical,Yes,"AWS data centre utilities (power, cooling) are managed by AWS; Acme must confirm and document this in supplier agreements.",implemented,J. Patel
7.12,"Cabling security",Physical,Yes,"Applicable to staff home network cabling; basic requirements included in remote working policy.",partial,J. Patel
7.13,"Equipment maintenance",Physical,Yes,"Staff laptops require maintenance and update management through MDM (Microsoft Intune).",implemented,J. Patel
7.14,"Secure disposal or re-use of equipment",Physical,Yes,"Any physical equipment (laptops, USB devices) must be securely disposed of to prevent data recovery.",partial,J. Patel
8.1,"User endpoint devices",Technological,Yes,"All staff use personal or company-assigned endpoints to access Acme cloud systems; endpoint security controls are essential.",partial,J. Patel
8.2,"Privileged access rights",Technological,Yes,"Privileged access to AWS and production systems carries significant risk and requires specific additional controls beyond standard access management.",partial,J. Patel
8.3,"Information access restriction",Technological,Yes,"Access to information must be restricted based on classification and need-to-know to protect payment and personal data.",implemented,J. Patel
8.4,"Access to source code",Technological,Yes,"Payment system source code is a sensitive asset; access must be controlled and monitored.",implemented,Lead Engineer
8.5,"Secure authentication",Technological,Yes,"Strong authentication mechanisms are required for all access to cloud systems and payment infrastructure.",partial,J. Patel
8.6,"Capacity management",Technological,Yes,"Payment processing capacity must be managed to ensure availability and performance SLAs are met.",partial,J. Patel
8.7,"Protection against malware",Technological,Yes,"Endpoints and servers require protection against malware to prevent data exfiltration and service disruption.",implemented,J. Patel
8.8,"Management of technical vulnerabilities",Technological,Yes,"Systematic vulnerability management is required to identify and remediate weaknesses in payment systems and infrastructure.",partial,Marcus Webb
8.9,"Configuration management",Technological,Yes,"Formal configuration management is required to ensure systems are built and maintained to approved secure baselines.",not_implemented,J. Patel
8.10,"Information deletion",Technological,Yes,"Secure deletion of information is required when no longer needed to comply with data minimisation principles under UK GDPR.",not_implemented,J. Patel
8.11,"Data masking",Technological,Yes,"PAN data and other sensitive payment information must be masked in non-production environments and in logs.",not_implemented,Lead Engineer
8.12,"Data leakage prevention",Technological,Yes,"DLP controls are required to detect and prevent unauthorised exfiltration of payment and personal data.",not_implemented,Marcus Webb
8.13,"Information backup",Technological,Yes,"Regular backups of payment data, configuration, and ISMS records are required to support recovery from incidents.",implemented,J. Patel
8.14,"Redundancy of information processing facilities",Technological,Yes,"Payment processing systems must be resilient to single points of failure; AWS multi-AZ architecture must be documented.",implemented,J. Patel
8.15,"Logging",Technological,Yes,"Comprehensive logging of system, security, and application events is required for detection, investigation, and forensic purposes.",implemented,J. Patel
8.16,"Monitoring activities",Technological,Yes,"Active monitoring of logs and security events is required to detect incidents in payment systems promptly.",partial,Marcus Webb
8.17,"Clock synchronisation",Technological,Yes,"Synchronised clocks across all systems are required for accurate log correlation and forensic investigation.",implemented,J. Patel
8.18,"Use of privileged utility programs",Technological,Yes,"Privileged utility programs capable of bypassing controls must be restricted and their use controlled and monitored.",not_implemented,J. Patel
8.19,"Installation of software on operational systems",Technological,Yes,"Unauthorised software installation on production systems could introduce vulnerabilities or malware; a formal approval process is required.",not_implemented,J. Patel
8.20,"Networks security",Technological,Yes,"Network security controls including firewalls, security groups, and network segmentation are required to protect payment systems.",implemented,J. Patel
8.21,"Security of network services",Technological,Yes,"Network services used in the delivery of payment processing must be secured and their security characteristics understood.",implemented,J. Patel
8.22,"Segregation of networks",Technological,Yes,"Segregation of the cardholder data environment from other networks is required by both ISO 27001 and PCI DSS.",implemented,J. Patel
8.23,"Web filtering",Technological,Yes,"Web filtering is required to protect staff from malicious websites and to enforce acceptable use policy.",not_implemented,J. Patel
8.24,"Use of cryptography",Technological,Yes,"Encryption of payment data in transit and at rest is mandatory under PCI DSS and UK GDPR; a cryptographic policy is required.",implemented,Marcus Webb
8.25,"Secure development life cycle",Technological,Yes,"Payment processing software is developed in-house; a formal secure development lifecycle is essential to manage security risk in the development process.",partial,Lead Engineer
8.26,"Application security requirements",Technological,Yes,"Security requirements must be defined for all payment processing applications to ensure security is designed in from the outset.",partial,Lead Engineer
8.27,"Secure system architecture and engineering principles",Technological,Yes,"Secure architecture principles must be applied to payment system design to reduce attack surface and enforce defence in depth.",partial,Lead Engineer
8.28,"Secure coding",Technological,Yes,"Secure coding standards are required to prevent common vulnerabilities (OWASP Top 10) in payment processing software.",partial,Lead Engineer
8.29,"Security testing in development and acceptance",Technological,Yes,"Security testing must be integrated into the development pipeline and acceptance criteria for all payment system releases.",not_implemented,Lead Engineer
8.30,"Outsourced development",Technological,Yes,"Any outsourced development of payment components must be subject to the same security requirements as in-house development.",partial,Lead Engineer
8.31,"Separation of development testing and production environments",Technological,Yes,"Separation of environments is required to prevent development and test activities from affecting production payment systems.",implemented,Lead Engineer
8.32,"Change management",Technological,Yes,"All changes to payment systems and infrastructure must be managed through a formal change management process.",implemented,Lead Engineer
8.33,"Test information",Technological,Yes,"Production payment data must not be used in test environments; data masking or synthetic data generation is required.",partial,Lead Engineer
8.34,"Protection of information systems during audit testing",Technological,Yes,"Audit and testing activities must be planned and controlled to avoid disruption or damage to production payment systems.",partial,Marcus Webb
